Model/Epoch,Layer_1,Layer_2,Layer_3,Layer_4,Layer_5,Layer_6,Layer_7,Layer_8,Layer_9,Layer_10,Layer_11,Layer_12
checkpoint_epoch_30,1.6269420264898562,2.1253434512607114,2.239143312912654,2.3761704988370758,2.517641466526215,2.6862985914925686,2.8525291252437155,3.0307908189914734,3.164295640241465,3.23432780123775,3.128203171920794,1.7355395117527168
checkpoint_epoch_60,1.6221308897293218,2.0603789721078405,2.1567687940440288,2.285598841524882,2.4350002784620326,2.565703681954198,2.721963535438994,2.9152310364927,3.0953800445320345,3.197106044949146,3.128277724621925,1.783503340160547
checkpoint_epoch_90,1.6262344551896557,1.9690028309585423,2.05129572040774,2.181730102626322,2.3359610812043377,2.4524020144773955,2.6086747923831495,2.799774585868441,3.002589948440533,3.130497257140377,3.0687607340839027,1.8344740621081532
checkpoint_epoch_120,1.6283256512234108,1.9028466281469691,1.9541835928906222,2.071026912846439,2.228857308172606,2.3311325078181424,2.478918780612437,2.659058290530624,2.857103153875374,3.0089523974076227,2.9727799268312163,1.9257984446503345
checkpoint_epoch_150,1.5611200176875448,1.7746426095639853,1.8087510047498911,1.9051349839924359,2.0468080546736442,2.1420341300741925,2.2793546001593166,2.4633654275150314,2.681955455063347,2.855612989263022,2.8304597254040442,1.9613021702270286
checkpoint_epoch_180,1.5763551461940977,1.6715570371136355,1.690595962506054,1.7646725737134392,1.8827054926029287,1.9664525156287271,2.095823503560392,2.2771933474487676,2.493324156284782,2.6760004821234005,2.6724958159777508,2.0352195864399216
checkpoint_epoch_210,1.5141152343862043,1.505933992006471,1.5166056374257655,1.5569703050381802,1.6151570187647641,1.669143502045036,1.781353325302813,1.9507855237640317,2.1735406797672336,2.3710978036111396,2.3777758931228425,2.0494163448268736
checkpoint_epoch_240,1.3494199961548445,1.2029400023265493,1.1522412238146618,1.1807378497524703,1.2854054696155666,1.3460220785682553,1.4651314393158914,1.638262030639483,1.8788590533097522,2.0980527453374695,2.1176930826395615,2.08163080436158
checkpoint_epoch_270,1.340460668737625,1.1046091694846583,1.080550918735997,1.0797143034828387,1.1177365670310817,1.1447384961663472,1.2336796216838457,1.4013247320367301,1.6631853332087192,1.9011700820319675,1.9296870042170566,2.095923365560261
checkpoint_epoch_300,1.4034192843486948,1.2199745592220057,1.2515639226674833,1.278508636454174,1.2532378478900958,1.2321312228560792,1.2457565422060013,1.3415547316923453,1.5659593044018358,1.8028611840012538,1.830910564699739,2.0750362135741467
model_best,1.3363489511872737,1.097286024034381,1.060625281838567,1.0829559656163397,1.1124108168581934,1.1248083215313198,1.1890740254704435,1.3317941958443011,1.5788564377683072,1.8185535290627834,1.8469731801416052,2.0785255573763926
